"filename", "language", "TypeScript", "SCSS", "HTML", "comment", "blank", "total"
"d:\JS\light-store\src\app\modules\customers\components\create-order-item\create-order-item.component.html", "HTML", 0, 0, 30, 0, 1, 31
"d:\JS\light-store\src\app\modules\customers\components\create-order-item\create-order-item.component.scss", "SCSS", 0, 45, 0, 0, 10, 55
"d:\JS\light-store\src\app\modules\customers\components\create-order-item\create-order-item.component.ts", "TypeScript", 22, 0, 0, 0, 4, 26
"d:\JS\light-store\src\app\modules\customers\components\order-card\order-card.component.html", "HTML", 0, 0, 7, 0, 1, 8
"d:\JS\light-store\src\app\modules\customers\components\order-card\order-card.component.scss", "SCSS", 0, 10, 0, 0, 2, 12
"d:\JS\light-store\src\app\modules\customers\components\order-card\order-card.component.ts", "TypeScript", 14, 0, 0, 0, 3, 17
"d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.html", "HTML", 0, 0, -18, 0, 0, -18
"d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.scss", "SCSS", 0, -6, 0, 0, -2, -8
"d:\JS\light-store\src\app\modules\customers\components\order-item\order-item.component.ts", "TypeScript", -12, 0, 0, 0, -2, -14
"d:\JS\light-store\src\app\modules\customers\customers-routing.module.ts", "TypeScript", 2, 0, 0, 0, 0, 2
"d:\JS\light-store\src\app\modules\customers\customers.module.ts", "TypeScript", 8, 0, 0, 0, 0, 8
"d:\JS\light-store\src\app\modules\customers\models\create-order-item.ts", "TypeScript", 8, 0, 0, 0, 2, 10
"d:\JS\light-store\src\app\modules\customers\models\order-details.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"d:\JS\light-store\src\app\modules\customers\models\order-item.ts", "TypeScript", -12, 0, 0, 0, -3, -15
"d:\JS\light-store\src\app\modules\customers\models\order.ts", "TypeScript", 10, 0, 0, 0, 2, 12
"d:\JS\light-store\src\app\modules\customers\pages\order-creating-page\order-creating-page.component.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"d:\JS\light-store\src\app\modules\customers\pages\products-page\products-page.component.ts", "TypeScript", 0, 0, 0, 1, -1, 0
"d:\JS\light-store\src\app\modules\customers\services\order.service.ts", "TypeScript", 12, 0, 0, 0, 2, 14
"d:\JS\light-store\src\app\modules\customers\tabs\order-details-tab\order-details-tab.component.html", "HTML", 0, 0, 22, 0, 2, 24
"d:\JS\light-store\src\app\modules\customers\tabs\order-details-tab\order-details-tab.component.scss", "SCSS", 0, 33, 0, 0, 2, 35
"d:\JS\light-store\src\app\modules\customers\tabs\order-details-tab\order-details-tab.component.ts", "TypeScript", 31, 0, 0, 0, 7, 38
"d:\JS\light-store\src\app\modules\customers\tabs\orders-tab\orders-tab.component.html", "HTML", 0, 0, 7, 0, 0, 7
"d:\JS\light-store\src\app\modules\customers\tabs\orders-tab\orders-tab.component.scss", "SCSS", 0, 3, 0, 0, 0, 3
"d:\JS\light-store\src\app\modules\customers\tabs\orders-tab\orders-tab.component.ts", "TypeScript", 20, 0, 0, 0, 2, 22
"d:\JS\light-store\src\app\modules\shared\models\delivery-information.ts", "TypeScript", 2, 0, 0, 0, 2, 4
"d:\JS\light-store\src\app\modules\shared\models\order-item.ts", "TypeScript", 7, 0, 0, 0, 1, 8
"d:\JS\light-store\src\app\modules\shared\models\order-status.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"d:\JS\light-store\src\app\modules\shared\pipes\order-status.pipe.ts", "TypeScript", 21, 0, 0, 0, 2, 23
"d:\JS\light-store\src\app\modules\shared\shared.module.ts", "TypeScript", 3, 0, 0, 0, 0, 3
"Total", "-", 154, 85, 48, 1, 40, 328